userID,cond,trialNo,userPred,truePred,valQuality,valProductivity,valPunctuality,valFeedback
91838742,s-con,9,N,Y,H,H,L,L
58674604,o-cfe,14,Y,N,H,L,L,L
58674604,o-cfe,11,Y,N,L,L,H,L
58674604,o-cfe,6,Y,N,H,H,L,L
58674604,o-cfe,7,Y,N,L,H,L,L
58674604,o-cfe,0,Y,Y,H,H,H,H
58674604,o-cfe,9,Y,Y,L,L,H,H
58674604,o-cfe,4,Y,Y,H,H,L,H
58674604,o-cfe,3,N,Y,L,H,H,L
58674604,o-cfe,2,Y,Y,H,H,H,L
58674604,o-cfe,10,N,N,H,L,H,L
58674604,o-cfe,1,N,Y,L,H,H,H
58674604,o-cfe,12,N,N,H,L,L,H
58674604,o-cfe,15,N,N,L,L,L,L
58674604,o-cfe,8,N,Y,H,L,H,H
58674604,o-cfe,5,N,Y,L,H,L,H
58674604,o-cfe,13,N,N,L,L,L,H
